name,danceability,loudness,speechiness,acousticness,liveness
No One Knows,0.509,-4.902,0.0615,0.0329,0.359
No Time To Die,0.38,-13.273,0.0358,0.917,0.0827
No Woman,0.581,-8.739,0.0291,0.893,0.161
Nobody,0.877,-13.987,0.102,0.776,0.107
North,0.522,-28.022,0.0441,0.994,0.0949
North Captiva,0.479,-17.916,0.0306,0.918,0.111
Not Alone,0.68,-6.21,0.0355,0.00538,0.0679
Nowhere Kids,0.511,-5.31,0.0457,0.000106,0.195
Oceans,0.404,-8.906,0.0303,0.274,0.132
October Rain,0.187,-29.31,0.0418,0.992,0.0925
Old Rain on a New Day,0.286,-16.496,0.0346,0.971,0.134
Older Than I Am,0.44,-8.947,0.0363,0.891,0.103
On Another Ocean (January / June),0.284,-6.512,0.0285,0.155,0.0933
On My Way (feat. Jordan Kaahn),0.661,-4.208,0.0617,0.0188,0.0919
One More Night,0.62,-3.595,0.086,0.00402,0.108
One Night - D.O.D Remix,0.681,-1.394,0.0702,0.00732,0.219
One Step Closer,0.492,-4.419,0.0491,0.0014,0.0787
Only,0.373,-15.52,0.0303,0.906,0.109
Only You,0.545,-14.844,0.0311,0.362,0.0841
Open Fields,0.491,-19.261,0.0298,0.97,0.214
Open Skies,0.56,-7.807,0.0274,0.00104,0.123
Orbits,0.438,-13.924,0.039,0.855,0.11
Our Lady of Sorrows,0.271,-6.81,0.0785,0.00099,0.182
Out Of Control,0.443,-4.386,0.133,0.00161,0.353
Out Of Control - Pat Vocal Mix,0.864,-6.117,0.043,0.00875,0.41
Out of Control,0.328,-5.992,0.0296,0.0041,0.069
Out of the Deep,0.2,-32.285,0.0499,0.992,0.0929
Outside,0.637,-7.432,0.0272,0.0925,0.156
Over My Head (Better Off Dead),0.44,-4.462,0.0735,0.00222,0.0892
Pain,0.523,-4.374,0.0405,0.00387,0.0841
Panoramic Feelings (Piano Version),0.25,-24.348,0.0373,0.991,0.0853
Papercut,0.524,-3.994,0.113,0.00022,0.623
Paperthin Hymn,0.298,-12.107,0.0343,0.00111,0.0819
Parabel,0.354,-32.492,0.0388,0.976,0.0957
Paradise,0.449,-6.762,0.0268,0.0522,0.0833
Paralyzer,0.646,-3.453,0.0448,0.159,0.235
Pass The Hours,0.778,-5.985,0.0292,0.179,0.322
Path to Serenity,0.134,-19.866,0.0352,0.961,0.109
People Are Strange - Festival Mix,0.636,-5.671,0.091,0.00222,0.598
People Help the People,0.407,-9.001,0.0296,0.778,0.092
Petrichor,0.319,-16.69,0.0373,0.937,0.167
"Piano Sonata No. 14 In C Sharp Minor, Op. 27-2 1st Mvt: Adagio Sostenuto",0.274,-41.45,0.0424,0.995,0.175
Pierre,0.356,-24.949,0.0407,0.989,0.135
Pink Rupture,0.736,-8.676,0.0405,0.00178,0.0925
Placidity,0.261,-18.526,0.0339,0.474,0.0882
Planet,0.549,-23.059,0.0332,0.988,0.111
Play The Ghost,0.118,-19.274,0.0427,0.911,0.106
Poem,0.364,-2.968,0.107,0.000104,0.086
Points of Authority,0.512,-3.886,0.212,0.03,0.0994
Polyamorous,0.544,-6.207,0.0522,0.000132,0.147
Pour Les Oiseaux,0.376,-19.815,0.0423,0.965,0.099
Prayer Of The Refugee,0.198,-3.499,0.173,0.00131,0.23
Prelude,0.306,-27.607,0.0535,0.996,0.0909
Prelude 6 - Pt. 1,0.134,-31.537,0.0426,0.992,0.117
Prelude in F,0.461,-24.315,0.0363,0.968,0.113
Presence,0.616,-16.837,0.0423,0.966,0.0955
Pressure,0.708,-4.001,0.0606,0.00885,0.285
Promise,0.62,-4.096,0.0327,0.00791,0.0769
